city_name,city_latitude,city_longitude
Abbot, 37.557270, -88.698950
Abingdon, 40.804480, -90.401800
Acorn Acres, 42.219470, -88.093410
Adair, 40.418930, -90.496790
Adams, 39.865320, -91.198200
Adams Corner, 38.513100, -87.741970
Addieville, 38.391440, -89.490090
Addison, 41.931700, -87.988960
Adeline, 42.143360, -89.490390
Aden, 38.241710, -88.458380
Adenmoor, 39.365870, -87.796700
Adrian, 40.520880, -91.167090
Advance, 39.156710, -88.028920
Afolkey, 42.432510, -89.574560
Afton Center, 41.849200, -88.773700
Agnew, 41.786700, -89.800110
Ahern, 41.154200, -87.604760
Aiken, 42.352510, -90.415410
Akin, 37.988100, -88.747560
Akin Junction, 38.010050, -88.761450
Akron, 40.903930, -89.653990
Aladdin, 39.716430, -91.323200
Alandale, 38.938940, -90.229280
Albany, 41.789470, -90.219290
Albany Park, 41.968360, -87.723390
Albers, 38.543380, -89.612310
Albion, 38.377550, -88.056150
Alda, 38.462830, -89.236740
Alden, 42.458910, -88.517880
Aldine Square, 41.826140, -87.612550
Aldridge, 37.558380, -89.470100
Aledo, 41.199760, -90.749310
Alexander, 39.724490, -90.038170
Alexis, 41.063370, -90.555970
Alexis Junction, 41.067260, -90.638470
Algonquin, 42.165580, -88.294250
Alhambra, 38.888380, -89.731480
Aliceville, 41.552260, -89.879550
Allen, 40.305040, -89.649550
Allendale, 38.526710, -87.709750
Allens Corners, 42.099470, -88.481470
Allens Spring, 37.368940, -88.657000
Allentown, 40.555870, -89.396760
Allenville, 39.555590, -88.529780
Allerton, 39.911700, -87.936420
Allright, 39.297260, -87.748920
Alma, 38.721710, -88.909220
Almora, 42.060860, -88.336190
Almora Heights, 42.042800, -88.343970
Alonzo, 40.566700, -87.731140
Alorton, 38.589770, -90.120110
Alpha, 41.191700, -90.380130
Alpine, 41.586420, -87.881440
Alsey, 39.560600, -90.434010
Alsip, 41.668920, -87.738660
Alta, 40.810870, -89.634260
Altamont, 38.923100, -90.209830
Altamont, 39.061990, -88.748110
Altgeld Gardens, 41.654480, -87.601990
Altmar, 41.141980, -88.892580
Alto Pass, 37.570330, -89.317590
Alton, 38.890600, -90.184280
Altona, 41.114760, -90.164560
Altorf, 41.190310, -87.962270
Alvin, 40.308370, -87.608350
Alworth, 42.243630, -89.245660
Amboy, 41.714200, -89.328710
Amenia, 40.021980, -88.666460
Ament Corners, 41.597250, -88.435900
America, 37.138380, -89.123680
Ames, 38.146720, -90.054550
Amherst, 42.161970, -88.098410
Amity, 38.776440, -87.924200
Anand Brook, 41.641390, -87.927220
Anchor, 40.568090, -88.535610
Ancient Oaks, 42.206410, -88.095630
Ancient Tree, 42.130280, -87.861390
Ancona, 41.040590, -88.872570
Andalusia, 41.439200, -90.717640
Andalusia Island, 41.448920, -90.805700
Anderson, 39.343940, -89.845100
Anderson, 39.982270, -90.159010
Andersonville, 41.979850, -87.667860
Andover, 41.293920, -90.292070
Andres, 41.371700, -87.882550
Andrew, 39.895610, -89.640100
Andrews and Hurds Subdivision, 41.666700, -87.631990
Anetsberger's Subdivision, 42.123330, -87.821670
Angelo Towhead, 36.979500, -89.175350
Anna, 37.460330, -89.247030
Annapolis, 39.144480, -87.816700
Annawan, 41.397260, -89.904550
Anns Mobile Home Park, 42.236670, -89.111390
Antioch, 42.477240, -88.095640
Appaloosa West, 41.902530, -88.416190
Apple Canyon Lake, 42.420610, -90.156470
Apple River, 42.505010, -90.098740
